model,degradation,level,variant,n,accuracy,balanced_acc,f1_macro,kappa_qw,acc_ci_lo,acc_ci_hi,kappa_ci_lo,kappa_ci_hi,recall_c0,recall_c1,recall_c2,recall_c3,recall_c4
resnet50,noise,mid,genai,440,0.634090909090909,0.34347632165813985,0.3421436509329122,0.5187416059582435,0.5909090909090909,0.6772727272727272,0.4380664487356227,0.5956522281033166,1.0,0.022222222222222223,0.4380165289256198,0.0,0.2571428571428571
resnet50,noise,mid,cold_diff,440,0.17045454545454544,0.23715863700053424,0.1338647355931589,-0.00454681481624486,0.1340909090909091,0.20909090909090908,-0.029130367539771173,0.02215170040631496,0.07407407407407407,0.0,0.2396694214876033,0.043478260869565216,0.8285714285714286
resnet50,noise,mid,swinir_gan,440,0.6272727272727273,0.41694940179129897,0.3706164286022665,0.564365421505332,0.5840909090909091,0.6704545454545454,0.48267997884933306,0.6396662944509992,0.8379629629629629,0.0,0.6033057851239669,0.043478260869565216,0.6
resnet50,noise,mid,ddpm,440,0.09318181818181819,0.17868555686737503,0.0798041673902545,-0.029957653040012744,0.0659090909090909,0.12045454545454545,-0.07823384492613375,0.018666683668335803,0.0,0.3333333333333333,0.0743801652892562,0.0,0.4857142857142857
resnet50,noise,mid,ddpm_path,440,0.5681818181818182,0.28075079802352526,0.2665150966172171,0.29508152394343357,0.5227272727272727,0.6090909090909091,0.21068252944642124,0.3791867515023522,0.9907407407407407,0.022222222222222223,0.24793388429752067,0.0,0.14285714285714285
resnet50,noise,high,raw,440,0.2318181818181818,0.27153570335388516,0.16535424842353058,-0.006704508061862402,0.19318181818181818,0.27045454545454545,-0.04116069583439492,0.026028694024274414,0.12037037037037036,0.0,0.38016528925619836,0.0,0.8571428571428571
resnet50,noise,high,clahe,440,0.2727272727272727,0.26588875770693954,0.17983736489963972,-0.034537158390369305,0.2340909090909091,0.31363636363636366,-0.0778872978069367,0.0075870753892297565,0.1388888888888889,0.0,0.5619834710743802,0.0,0.6285714285714286
resnet50,noise,high,genai,440,0.5659090909090909,0.2778337867665931,0.2635288138243803,0.3361049494440891,0.5227272727272727,0.6113636363636363,0.2584712537496352,0.41344740803331514,1.0,0.0,0.23140495867768596,0.043478260869565216,0.11428571428571428
resnet50,noise,high,cold_diff,440,0.08181818181818182,0.2135783584004928,0.05267040171883054,0.0008644159177290112,0.05909090909090909,0.10909090909090909,-0.0081516813409459,0.00997020478905817,0.0,0.0,0.008264462809917356,0.17391304347826086,0.8857142857142857
resnet50,noise,high,swinir_gan,440,0.20909090909090908,0.24743670470943196,0.14304205882689505,0.06529516994633267,0.17045454545454544,0.24772727272727274,0.032317367903558936,0.09939716258127404,0.19444444444444445,0.0,0.15702479338842976,0.0,0.8857142857142857
resnet50,noise,high,ddpm,440,0.12045454545454545,0.2431955922865014,0.09772479050001985,0.02288182687955831,0.09090909090909091,0.15,-0.0212343143244787,0.06796693798461274,0.0,0.3333333333333333,0.08264462809917356,0.0,0.8
resnet50,noise,high,ddpm_path,440,0.5772727272727273,0.3407612925794744,0.30310255879487413,0.4331575108611777,0.5340909090909091,0.6205113636363636,0.3462079278941793,0.5185802370180003,0.9351851851851852,0.022222222222222223,0.2892561983471074,0.0,0.45714285714285713
efficientnet_b3,blur,low,raw,440,0.05,0.19130434782608696,0.02,0.04169146333399465,0.031818181818181815,0.07272727272727272,0.021905055970499326,0.06321909867736876,0.0,0.0,0.0,0.9565217391304348,0.0
efficientnet_b3,blur,low,clahe,440,0.05227272727272727,0.2,0.019913419913419914,0.0019807041083637067,0.03409090909090909,0.07272727272727272,0.0,0.007126058554671753,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,blur,low,genai,440,0.056818181818181816,0.2088888888888889,0.03666666666666667,0.002435429084150509,0.03636363636363636,0.07954545454545454,0.0,0.006848397613359466,0.0,0.044444444444444446,0.0,1.0,0.0
efficientnet_b3,blur,low,cold_diff,440,0.05227272727272727,0.2,0.02072072072072072,0.03147381562520524,0.03409090909090909,0.07272727272727272,0.01148737983771628,0.05206146029053856,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,blur,low,swinir_gan,440,0.05454545454545454,0.20444444444444443,0.028087336244541482,0.008196721311475419,0.03636363636363636,0.07727272727272727,0.0018796944716255649,0.016953706004996568,0.0,0.022222222222222223,0.0,1.0,0.0
efficientnet_b3,blur,low,ddpm,440,0.05227272727272727,0.2,0.019870410367170625,0.0,0.03409090909090909,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,blur,low,ddpm_path,440,0.05227272727272727,0.2,0.019913419913419914,0.0019807041083637067,0.03409090909090909,0.07272727272727272,0.0,0.007126058554671753,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,blur,mid,raw,440,0.05454545454545454,0.20019323671497585,0.03375474083438686,0.009635974304068484,0.03409090909090909,0.07727272727272727,-0.003107330304681682,0.02232611709720396,0.0,0.044444444444444446,0.0,0.9565217391304348,0.0
efficientnet_b3,blur,mid,clahe,440,0.05227272727272727,0.2,0.02,0.005960392232262968,0.03409090909090909,0.07272727272727272,0.0,0.014000446192080159,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,blur,mid,genai,440,0.05909090909090909,0.21333333333333332,0.043660702793152276,-0.00041851780310353526,0.038636363636363635,0.08181818181818182,-0.012863635539243606,0.008605610546884107,0.0,0.06666666666666667,0.0,1.0,0.0
efficientnet_b3,blur,mid,cold_diff,440,0.05227272727272727,0.2,0.02017543859649123,-0.0001934610176048679,0.03409090909090909,0.07272727272727272,-0.014511487915306164,0.012083105980718491,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,blur,mid,swinir_gan,440,0.05227272727272727,0.2,0.019913419913419914,0.0019807041083637067,0.03409090909090909,0.07272727272727272,0.0,0.006595613583660885,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,blur,mid,ddpm,440,0.05227272727272727,0.2,0.019870410367170625,0.0,0.03409090909090909,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,blur,mid,ddpm_path,440,0.05227272727272727,0.2,0.019870410367170625,0.0,0.03409090909090909,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,blur,high,raw,440,0.05909090909090909,0.20908212560386472,0.03929341742430448,-0.0031022022226767643,0.038636363636363635,0.07954545454545454,-0.03532548370386007,0.024081587368629795,0.0,0.08888888888888889,0.0,0.9565217391304348,0.0
efficientnet_b3,blur,high,clahe,440,0.05227272727272727,0.2,0.019870410367170625,0.0,0.03409090909090909,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,blur,high,genai,440,0.05454545454545454,0.20444444444444443,0.028087336244541482,-0.0024108003857281624,0.03636363636363636,0.075,-0.016270234381635617,0.007572845397589352,0.0,0.022222222222222223,0.0,1.0,0.0
efficientnet_b3,blur,high,cold_diff,440,0.05,0.19130434782608696,0.019775280898876403,0.013153578691858514,0.031818181818181815,0.07045454545454545,-0.0054834056481803005,0.030922852911998384,0.0,0.0,0.0,0.9565217391304348,0.0
efficientnet_b3,blur,high,swinir_gan,440,0.05227272727272727,0.2,0.019956616052060738,0.003967492161003339,0.03409090909090909,0.07272727272727272,0.0,0.009811068466454203,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,blur,high,ddpm,440,0.05227272727272727,0.2,0.019870410367170625,0.0,0.03409090909090909,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,blur,high,ddpm_path,440,0.05227272727272727,0.2,0.019870410367170625,0.0,0.03409090909090909,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,exposure,low,raw,440,0.05227272727272727,0.2,0.019956616052060738,0.003967492161003339,0.03409090909090909,0.07278409090909085,0.0,0.010413997639611565,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,exposure,low,clahe,440,0.06136363636363636,0.19945249597423512,0.03312414283978265,-0.032181571815718124,0.04090909090909091,0.08409090909090909,-0.07051599129750274,0.0017158805337038278,0.018518518518518517,0.022222222222222223,0.0,0.9565217391304348,0.0
efficientnet_b3,exposure,low,genai,440,0.05227272727272727,0.2,0.02013129102844639,0.0119760479041916,0.03409090909090909,0.07278409090909085,0.003710579802967634,0.02212079822429726,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,exposure,low,cold_diff,440,0.05227272727272727,0.2,0.020353982300884955,0.01498929336188437,0.03409090909090909,0.07278409090909085,-0.0014037185918438495,0.03223430039396536,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,exposure,low,swinir_gan,440,0.05227272727272727,0.2,0.020043572984749455,0.0008986456126837128,0.03409090909090909,0.07278409090909085,-0.013192827703935173,0.012291189052620052,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,exposure,low,ddpm,440,0.05227272727272727,0.2,0.019870410367170625,0.0,0.03409090909090909,0.07278409090909085,0.0,0.0,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,exposure,low,ddpm_path,440,0.05227272727272727,0.2,0.019956616052060738,0.003967492161003339,0.03409090909090909,0.07278409090909085,0.0,0.01150488774350408,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,exposure,mid,raw,440,0.05227272727272727,0.2,0.019956616052060738,0.003967492161003339,0.03409090909090909,0.075,0.0,0.010095984108934107,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,exposure,mid,clahe,440,0.045454545454545456,0.17391304347826086,0.017937219730941704,0.011102377677343234,0.02727272727272727,0.06596590909090903,-0.007332724409194685,0.029058120342782816,0.0,0.0,0.0,0.8695652173913043,0.0
efficientnet_b3,exposure,mid,genai,440,0.06136363636363636,0.21074074074074076,0.0376308607945585,0.029311219065377925,0.04090909090909091,0.08409090909090909,0.013551999665266901,0.04703129313248126,0.009259259259259259,0.044444444444444446,0.0,1.0,0.0
efficientnet_b3,exposure,mid,cold_diff,440,0.05227272727272727,0.2,0.019913419913419914,0.0019807041083637067,0.03409090909090909,0.075,0.0,0.007118016754912123,0.0,0.0,0.0,1.0,0.0
