degradation,level,id_code,raw_psnr,raw_ssim,clahe_psnr,clahe_ssim,genai_psnr,genai_ssim,cold_diff_psnr,cold_diff_ssim,swinir_gan_psnr,swinir_gan_ssim,ddpm_psnr,ddpm_ssim,ddpm_path_psnr,ddpm_path_ssim
exposure,mid,650fbed3fdca,12.81703994503598,0.6358941,14.721795744511708,0.7180546,12.868524637221592,0.65386766,21.869530394683885,0.85648394,26.864038339792288,0.8491222,8.656431433640467,0.023103772,12.97334720673784,0.6279602
exposure,mid,2cceb07ff706,13.484652245453024,0.6587754,15.658361296289968,0.66625595,13.521567441660718,0.6743832,22.501115059828866,0.8610727,28.22229010680925,0.85187554,8.416990965468308,0.022002548,13.607367118633746,0.64488363
exposure,mid,731b19a460ad,13.030230502040816,0.6203776,15.636626017699268,0.73412615,13.0822168464642,0.625756,21.875758378109197,0.8606433,22.744098709377027,0.7729561,9.270383089164817,0.027477019,13.137834230999276,0.60273665
exposure,mid,ab686895533e,11.875305259950595,0.597092,14.357671206526131,0.64120626,11.836057284406081,0.5839917,20.79557904893258,0.8032796,20.358523825926504,0.70834494,8.95631626577946,0.02676937,11.859624873018062,0.567096
exposure,mid,3f3de2a6b0f5,14.800661976929074,0.6024336,18.879883348216634,0.82552403,14.754063065847419,0.5829253,23.71303195352063,0.86729974,17.549404082252305,0.58225137,9.359508506267375,0.025793158,14.867838789975039,0.54277664
exposure,mid,cd1c98ec48b1,12.560725813921685,0.7123099,14.534307234526377,0.48921254,12.5696839373607,0.6976525,21.71653811007435,0.8533706,23.214581629970187,0.7116813,8.113242220386981,0.02117461,12.674895477362465,0.7013878
exposure,mid,cd563556cb57,17.808832523526497,0.67022926,20.802250275032165,0.68318933,17.653767715987907,0.65008193,26.419166909814148,0.8800573,16.68314753132819,0.7343603,7.646016960126581,0.01698346,18.192963108402076,0.62066907
exposure,mid,1da25637859b,14.013157815269043,0.63456017,16.595360251374387,0.66866904,14.034466629257935,0.63941735,22.869383605866823,0.8438208,27.215857493741247,0.82686335,8.441989178882663,0.021718616,14.177016173768639,0.60603553
exposure,mid,62318d514160,14.235612639346026,0.6222363,16.77795667875224,0.67641324,14.267102604840566,0.624693,23.133302012271493,0.8524186,26.326376712163416,0.8056879,8.388624520725243,0.019982709,14.453760750367344,0.5846408
exposure,mid,55968f0e63c4,12.597287747375617,0.6345336,14.594671865959029,0.5799859,12.603024706591167,0.6622427,21.849090838302033,0.8232054,23.33345438927864,0.7617596,8.20315462728588,0.021452805,12.685353788914572,0.614904
