degradation,level,id_code,raw_psnr,raw_ssim,clahe_psnr,clahe_ssim,genai_psnr,genai_ssim,cold_diff_psnr,cold_diff_ssim,swinir_gan_psnr,swinir_gan_ssim,ddpm_psnr,ddpm_ssim,ddpm_path_psnr,ddpm_path_ssim
exposure,low,885fa5fc5da8,19.30567957580862,0.85263824,22.374414945937726,0.56088376,19.057506470087933,0.8175607,34.46581376427182,0.8534009,19.117702237970747,0.8058357,8.206388924873732,0.021261096,18.9965649452301,0.81277156
exposure,low,40140a925c43,17.205057613816553,0.862031,18.82520079065315,0.60137594,17.028732760824106,0.7762871,33.29817711494129,0.8477025,16.99911747409578,0.8019819,8.237597779518493,0.022897795,17.12195018452677,0.79530907
exposure,low,65e530ee2e79,20.01695687985087,0.8712575,25.343286547861645,0.78993267,19.785983137446856,0.83946276,36.35342128908587,0.91220784,19.960300944621945,0.8205526,10.110856443979845,0.027466573,19.684403070180643,0.8043106
exposure,low,2cceb07ff706,19.385407903817278,0.85966897,22.96367278987043,0.66997594,19.19394472521995,0.8450654,35.46886287828853,0.88272506,19.23546100560509,0.83714134,8.459701747110493,0.02262105,19.330134172752004,0.8383867
exposure,low,7347f5133a6a,17.462616029623828,0.8773504,19.839632306937276,0.6415532,17.332688916462736,0.8110256,34.29454482302104,0.87928843,17.274842521335835,0.8350777,8.339079989809736,0.022988781,17.487750612455233,0.8323023
exposure,low,ab686895533e,17.76200685638837,0.8165972,21.103785532168654,0.64549136,17.508978926628792,0.7784088,32.31012169965214,0.8292635,17.595393664912624,0.76362425,9.018376670110552,0.027880907,17.405927055250288,0.7738221
exposure,low,3f73c91b7e32,20.420497310354047,0.8813672,23.547116727417475,0.6938493,20.389813652986305,0.8551604,35.90217631990635,0.91371775,19.800912310158193,0.79504347,8.429315056413188,0.021630758,20.526313663156564,0.83269614
exposure,low,cd1c98ec48b1,18.469079186322,0.87449384,21.30443274094409,0.5304282,18.270635056095713,0.8147262,34.40919534692703,0.86266,18.276104423329453,0.8259506,8.093276028891054,0.020904066,18.264547930388353,0.831817
exposure,low,cc12453ea915,20.242002616524264,0.86208194,24.103154935832617,0.68781275,19.992283568428245,0.8228869,35.5943554761587,0.8855843,19.197313755148397,0.70712185,8.457858863508898,0.021790115,20.030229768422473,0.8020868
exposure,low,1da25637859b,19.882763029850324,0.84745383,23.463920885096,0.65350634,19.66523654787339,0.8263268,33.97479406901522,0.86849374,18.958164714014277,0.7447391,8.462596170455777,0.021990351,19.74718916477837,0.81183934
exposure,low,62ecdc90dd42,19.254196975426215,0.8230209,22.69800085948978,0.5799864,18.98435929258605,0.7907388,33.980746947764146,0.8304375,19.073238248329215,0.7771711,8.187209404700331,0.020237356,18.93192910612345,0.77845496
exposure,low,54b322c66d01,21.153710352510245,0.9169504,24.794687786014347,0.46090314,20.956314675762048,0.89831287,35.4117655501412,0.9207945,20.923600421035573,0.8897148,7.213577282906719,0.014685483,21.306902697002606,0.8942184
exposure,low,1b398c0494d1,19.316573524609097,0.85645103,22.42486570553064,0.5430999,19.084452410640807,0.80862427,34.23344073669699,0.84986514,19.10695229442184,0.8111637,8.043102387104478,0.020087099,18.949608135729108,0.81510735
exposure,low,22325552a4e3,19.25100370505028,0.8720069,22.444755792520958,0.6650635,19.067305061259212,0.8297989,34.74871390590087,0.8924245,19.06192982598502,0.82063776,8.13773844181891,0.020550497,18.98944976709528,0.78724307
exposure,low,a3802934bad7,18.16584196191541,0.86269426,21.90589293353395,0.72466916,17.952896880526524,0.84227705,36.390609947559504,0.8907948,18.002346939559743,0.82731056,9.178622886514809,0.025113322,18.347344575362637,0.8414285
exposure,low,a6c9e96a10d7,19.416445603903554,0.8651406,23.746482988963056,0.758043,19.18222742997577,0.8448493,36.24176104135546,0.89939946,16.25448296947815,0.6812215,9.980173935956817,0.02634907,19.378617214247033,0.828095
exposure,low,3730c322d35b,18.179176557259304,0.8403242,21.048692200146824,0.62259036,17.975829107611442,0.81207585,33.763043477685144,0.8529341,18.00946742486387,0.7949986,8.474794389915683,0.020992508,17.919964047835762,0.79963154
exposure,low,ab7991df166b,24.140656649888275,0.90002394,25.661041401142842,0.67451215,24.229829498193766,0.8967185,38.81933564988735,0.936323,19.583332043645033,0.7259591,7.705331848554646,0.01813223,24.32940098451111,0.86233234
exposure,mid,9b70f84400af,16.02418279699394,0.66694456,19.851741980448967,0.70743066,15.928147938424464,0.6555936,24.669899582987025,0.891181,18.059023260329585,0.6620515,8.07122617447677,0.020215848,16.196455507414154,0.6240104
exposure,mid,3f3de2a6b0f5,14.800661976929074,0.6024336,18.879883348216634,0.82552403,14.754063065847419,0.5829253,23.71303195352063,0.86729974,17.549404082252305,0.58225137,9.376752683819985,0.025678277,14.83530772596711,0.542712
